datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:14:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 15:23:00+00:00,,10,92,0,,,,7,10,7,93,93,92,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 15:24:00+00:00,,25,92,0,,,,10,25,10,92,92,92,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 17:17:00+00:00,,53,92,0,,,,25,53,25,92,92,92,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 17:38:00+00:00,,53,92,0,,,,53,53,53,92,92,92,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 17:42:00+00:00,,60,90,0,,,,53,60,53,92,92,90,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 17:43:00+00:00,,60,88,0,,,,60,60,60,90,90,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 17:52:00+00:00,,65,88,0,,,,60,65,60,88,88,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 19:08:00+00:00,,65,88,0,,,,65,65,65,88,88,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 20:39:00+00:00,,65,88,0,,,,65,65,65,88,88,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 20:44:00+00:00,,68,88,0,,,,65,68,65,88,88,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 22:11:00+00:00,,68,88,0,,,,68,68,68,88,88,88,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:02:00+00:00,,68,86,0,,,,68,68,68,88,88,86,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:10:00+00:00,86.0,68,89,10,86.0,86.0,86.0,68,68,68,86,92,86,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:13:00+00:00,,69,87,0,,,,68,69,68,89,89,87,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:19:00+00:00,,69,85,0,,,,69,69,68,87,87,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:25:00+00:00,,69,85,0,,,,69,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:30:00+00:00,,68,85,0,,,,69,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:31:00+00:00,,69,85,0,,,,68,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:36:00+00:00,,68,85,0,,,,69,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:37:00+00:00,,69,85,0,,,,68,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:42:00+00:00,,69,85,0,,,,69,69,68,85,85,85,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:47:00+00:00,,69,82,0,,,,69,69,69,85,85,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:48:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:54:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-10-31 23:59:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:00:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:01:00+00:00,,69,82,0,,,,69,69,69,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:05:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:06:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:11:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:17:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:23:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:29:00+00:00,,69,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:34:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:35:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:40:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:41:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:46:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:47:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:52:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:53:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:54:00+00:00,,69,82,0,,,,69,69,69,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:58:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 00:59:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:04:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:05:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:10:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:11:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:16:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:17:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:22:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:23:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:25:00+00:00,,69,82,0,,,,69,69,69,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:28:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:29:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:31:00+00:00,,69,82,0,,,,69,69,69,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:32:00+00:00,,69,82,0,,,,69,69,69,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:34:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:35:00+00:00,,69,82,0,,,,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:40:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:41:00+00:00,82.0,69,82,2,82.0,82.0,82.0,68,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:46:00+00:00,,68,82,0,,,,69,69,68,82,82,82,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:47:00+00:00,,69,81,0,,,,68,69,68,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:49:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:52:00+00:00,,68,82,0,,,,69,69,68,81,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:53:00+00:00,,69,81,0,,,,68,69,68,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:54:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:58:00+00:00,,68,82,0,,,,69,69,68,81,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 01:59:00+00:00,,69,81,0,,,,68,69,68,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:04:00+00:00,,68,82,0,,,,69,69,68,81,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:05:00+00:00,,69,81,0,,,,68,69,68,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:07:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:10:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:11:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:16:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:17:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:23:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:29:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:33:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:35:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:41:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:42:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:45:00+00:00,81.0,69,81,2,81.0,81.0,81.0,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:47:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:48:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:53:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:54:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 02:59:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:00:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:04:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:05:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:06:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:11:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:12:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:17:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:18:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:23:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:24:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:29:00+00:00,,68,82,0,,,,69,69,68,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:30:00+00:00,,69,81,0,,,,68,69,68,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:34:00+00:00,,69,81,0,,,,69,69,69,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:36:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:42:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:48:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 03:54:00+00:00,,69,81,0,,,,69,69,68,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:00:00+00:00,,60,82,0,,,,69,69,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:01:00+00:00,,69,81,0,,,,60,69,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:06:00+00:00,,60,82,0,,,,69,69,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:07:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:12:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:13:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:14:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:18:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:19:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:25:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:26:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:31:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:32:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:37:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:38:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:40:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:44:00+00:00,,61,81,0,,,,61,61,60,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:49:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:50:00+00:00,,61,81,0,,,,61,61,60,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:56:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 04:57:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:02:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:03:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:08:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:09:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:14:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:15:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:20:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:21:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:27:00+00:00,,61,81,0,,,,61,61,60,81,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:30:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:33:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:34:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:39:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:40:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:45:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:46:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:52:00+00:00,,62,80,0,,,,61,62,60,81,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 05:58:00+00:00,,62,80,0,,,,62,62,60,80,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:04:00+00:00,,62,80,0,,,,62,62,60,80,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:10:00+00:00,,61,81,0,,,,62,62,60,80,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:12:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:16:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:17:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:22:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:23:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:28:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:29:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:34:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:35:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:41:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:42:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:47:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:48:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:53:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 06:54:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:00:00+00:00,,62,80,0,,,,61,62,60,81,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:06:00+00:00,,62,80,0,,,,62,62,60,80,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:12:00+00:00,,62,80,0,,,,62,62,60,80,83,79,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:18:00+00:00,,61,81,0,,,,62,62,60,80,83,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:24:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:25:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:30:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:31:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:36:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:37:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:43:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:44:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:49:00+00:00,,60,82,0,,,,61,61,60,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:50:00+00:00,,61,81,0,,,,60,61,60,82,82,80,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:53:00+00:00,,61,81,0,,,,61,61,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:55:00+00:00,,70,81,0,,,,61,70,61,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:56:00+00:00,,70,82,0,,,,70,70,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 07:57:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:02:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:03:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:08:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:09:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:15:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:16:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:21:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:22:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:28:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:29:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:34:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:35:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:40:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:42:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:47:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:48:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:54:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 08:55:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:00:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:01:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:07:00+00:00,,71,81,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:13:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:14:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:19:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:20:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:24:00+00:00,,71,81,0,,,,71,71,71,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:25:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:26:00+00:00,,71,81,0,,,,70,71,70,82,82,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:29:00+00:00,,71,81,0,,,,71,71,71,81,81,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:32:00+00:00,,71,81,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-01 09:38:00+00:00,,70,82,0,,,,71,71,70,81,83,81,,KXNCAAFGAME-25NOV08INDPSU-IND
